fleurs_dir,name,level,glottocode,longitude,latitude,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15
or_in,Odia,language,oriy1255,85.0,21.0,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1323,oriy1254,macr1269,,,,,,,
om_et,West Central Oromo,language,west2721,36.7365,8.81391,afro1255,cush1243,east2699,lowl1267,sout3055,main1283,nucl1701,nucl1736,,,,,,,,
ps_af,Nuclear Pashto,family,nucl1276,68.82763,32.47177,indo1319,clas1257,indo1320,iran1269,pash1269,,,,,,,,,,,
fa_ir,Western Farsi,language,west2369,53.3,32.9,indo1319,clas1257,indo1320,iran1269,sout3157,midd1352,mode1259,fars1254,fars1255,,,,,,,
pl_pl,Polish,language,poli1260,18.6255,51.8439,indo1319,clas1257,balt1263,slav1255,west2792,lech1241,poli1262,,,,,,,,,
pt_br,Portuguese,language,port1283,-8.1,39.91,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,west2838,gali1263,macr1272,braz1247,
pa_in,Eastern Panjabi,language,panj1256,75.6702,30.0368,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1324,sind1278,lahn1241,east2727,,,,,,
ro_ro,Romanian,language,roma1327,24.2256,46.3913,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,east2714,nort3361,east2865,,,,,,
ru_ru,Russian,language,russ1263,50.0,59.0,indo1319,clas1257,balt1263,slav1255,east1426,,,,,,,,,,,
sr_rs,Serbian Standard,dialect,serb1264,21.9192,44.3238,indo1319,clas1257,balt1263,slav1255,sout3147,west2804,sout1528,shto1241,news1236,east2821,,,,,,
sn_zw,Shona,language,shon1251,29.75725,-17.20849,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,sout3387,shon1250,core1255,plat1259,cent2310,,,,
sd_in,Sindhi,language,sind1272,69.0,26.0,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1324,sind1278,sind1279,sind1282,,,,,,
sk_sk,Slovak,language,slov1269,18.78479,48.545705,indo1319,clas1257,balt1263,slav1255,west2792,czec1260,,,,,,,,,,
sl_si,Slovenian,language,slov1268,14.7766,46.2543,indo1319,clas1257,balt1263,slav1255,sout3147,west2804,,,,,,,,,,
so_so,Somali,language,soma1255,45.152856,4.778704,afro1255,cush1243,east2699,lowl1267,sout3055,main1283,omot1245,east2653,,,,,,,,
ckb_iq,Central Kurdish,language,cent1972,45.8077,35.6539,indo1319,clas1257,indo1320,iran1269,cent2317,cent2318,nort3177,laki1246,kurd1259,,,,,,,
